Date,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
3/9/14,0,0,0,0,2,2,2,5,6,6,5,1,2,4,4,1
3/10/14,0,2,3,6,4,3,6,4,3,3,4,2,1,4,2,0
3/11/14,0,3,2,3,2,4,6,10,12,10,10,6,5,4,3,0
3/12/14,0,2,1,3,5,6,9,13,13,12,14,12,12,5,4,1
3/13/14,0,2,6,9,8,8,9,7,5,4,3,4,3,2,2,2
3/14/14,0,2,3,2,2,4,4,4,5,3,2,0,0,0,0,0
3/15/14,0,0,0,0,3,7,9,9,5,2,2,0,0,0,0,0
3/16/14,0,0,0,0,4,12,18,9,17,15,11,13,12,15,9,5
3/17/14,5,7,22,33,42,37,34,44,33,32,27,32,33,35,24,11
3/18/14,5,12,22,24,30,34,39,51,40,31,18,24,26,24,23,18
3/19/14,2,7,26,28,27,46,52,41,51,46,28,29,23,28,22,15
3/20/14,1,7,20,24,30,51,39,46,44,38,26,18,15,14,12,12
3/21/14,2,15,22,22,25,33,18,25,32,19,15,0,0,0,0,0
3/22/14,0,0,0,0,9,14,25,32,28,21,8,0,0,0,0,0
3/23/14,0,0,0,0,9,17,25,41,38,45,31,23,21,25,22,19
3/24/14,3,6,34,40,49,44,52,57,61,57,34,33,36,39,34,24
3/25/14,4,10,23,37,43,34,51,61,56,40,37,28,32,39,33,20
3/26/14,5,9,25,34,39,32,40,53,59,52,38,30,24,22,24,16
3/27/14,1,23,34,37,43,53,44,42,53,54,29,21,20,23,22,15
3/28/14,4,8,19,26,30,30,30,26,14,10,7,0,0,0,0,0
3/29/14,0,0,0,0,6,21,52,36,32,29,21,0,0,0,0,0
3/30/14,0,0,0,0,11,21,43,39,49,46,38,42,29,0,0,0
3/31/14,2,25,29,39,43,48,52,56,53,49,37,45,49,48,39,33
4/1/14,2,17,26,33,53,55,44,45,45,45,41,36,42,38,25,14
4/2/14,1,7,28,49,40,65,67,59,62,47,24,20,26,32,29,19
4/3/14,4,10,22,32,31,53,47,44,42,28,21,21,20,18,15,13
4/4/14,1,11,25,30,28,30,26,22,22,10,15,0,0,0,0,0
4/5/14,0,0,0,5,17,29,35,44,42,34,38,0,0,0,0,0
4/6/14,0,0,0,0,7,26,38,36,45,41,37,50,38,36,32,16
4/7/14,5,14,34,36,46,48,48,62,61,42,39,34,53,52,33,20
4/8/14,3,17,17,26,38,64,65,75,69,41,27,26,36,45,50,22
4/9/14,12,28,48,54,45,48,54,51,83,74,58,51,53,68,40,21
4/10/14,9,30,39,39,54,49,59,66,59,46,37,37,31,20,9,8
4/11/14,18,19,25,30,36,29,42,38,31,26,7,0,0,0,0,0
4/12/14,0,0,0,2,12,4,8,12,16,13,8,0,0,0,0,0
4/13/14,0,0,0,0,4,13,31,29,28,28,29,19,23,28,28,21
4/14/14,1,5,25,30,28,34,53,48,47,42,45,37,45,45,39,19
4/15/14,5,8,23,26,37,39,40,40,40,29,21,20,28,29,28,20
4/16/14,0,4,16,29,38,45,36,42,51,37,24,22,23,30,27,18
4/17/14,2,2,22,28,33,34,42,54,51,34,18,13,17,13,9,4
4/18/14,2,6,16,31,36,26,29,28,26,18,14,0,0,0,0,0
4/19/14,0,0,0,7,10,15,20,21,24,27,15,0,0,0,0,0
4/20/14,0,0,0,0,6,16,19,15,22,21,20,11,8,5,5,5
4/21/14,4,3,15,13,11,20,21,19,12,23,17,17,16,21,18,10
4/22/14,5,6,28,35,37,41,45,54,35,33,24,21,26,33,31,22
4/23/14,5,7,14,38,44,50,51,53,58,65,27,31,27,38,36,22
4/24/14,2,10,19,39,51,47,49,58,52,49,28,24,29,24,22,17
4/25/14,3,13,15,33,32,25,21,37,23,15,14,0,0,0,0,0
4/26/14,0,0,0,4,9,16,25,23,21,20,13,0,0,0,0,0
4/27/14,0,0,0,0,12,21,36,48,63,55,49,45,35,39,29,17
4/28/14,1,7,15,30,44,54,46,48,56,55,50,39,37,43,35,21
4/29/14,2,9,22,35,41,52,41,47,54,51,38,41,45,49,4,25
4/30/14,5,9,23,33,61,63,62,60,55,51,31,33,33,32,29,13
5/1/14,1,11,24,40,46,42,51,62,52,60,47,35,30,47,0,0
5/2/14,0,6,17,36,45,58,64,70,70,57,64,32,33,22,0,0
